Nombre científico ;Nombre común ;Familia 
Batocarpus costaricensis Standl. & L. O. Williams ;Lechillo , Ojoche macho , Ojoche negro , Ojochillo , Ratón , Ratón suave , Suaw ;Moraceae 
Bauhinia purpurea L. ;Casco de venado , Matrimonio , Orquídea de pobre ;Fabaceae-Caes. 
Bauhinia ungulata L. ;Casco de venado ;Fabaceae-Caes. 
Beilschmiedia anay (S. F. Blake) Kosterm. ;Aguacatón Quizarrá ;Lauraceae 
Beilschmiedia ovalis (S. F. Blake) C. K. Allen ;Quizarrá ;Lauraceae 
Beilschmiedia pendula (Sw.) Hemsl. ;Quizarrá ;Lauraceae 
Beilschmiedia sulcata (Ruiz & Pav.) Kosterm. ;Quizarrá ;Lauraceae 
Bernoullia flammea Oliv. ;Queso fresco Yuco ;Bombacaeae 
Billia colombiana Planch. & Lindl. ;Cachimbó Cucaracho , Guatusa , Guatuzo ;Hipposcastanaceae 
Billia colombiana Planch. & Lindl. ;Ira , Ira zapote , Ocora , Ocora , Resina ;Hipposcastanaceae 
Billia hippocastanum Peyr. ;Cachimba , Cachimbó , Cocora , Cucaracho , Guatuzo , Ira zapote , Ocora , Resina , Resino ;Hipposcastanaceae 
Bixa orellana L. ;Achiote Achote ;Bixaceae 
Bixa urucurana Willd. ;Achiote Achote ;Bixaceae 
Bombacopsis quinata (Jacq.) Dugand ;Cedro pochote Pochote ;Bombacaeae 
Bombacopsis sessilis (Benth.) Pittier ;Ceibilla , Ceibo verde , Pochote , Pochote pelado ;Bombacaeae 
Borojoa spp ;Guayaba de mono ;Rubiaceae 
Bravaisia integerrima (Spreng.) Standl. ;Ira mangle Mangle blanco , Mangle de agua , Manguillo , Palo de agua ;Acanthaceae 
Bromelia pinguin L. ;Piñuela ;Bromeliaceae 
Brosimum alicastrum Sw. ;Lechoso , Ojoche , Ojoche de fruta ;Moraceae 
Brosimum costaricanum Liebm. ;Bë Kòke , Lechoso , Morillo , Ojoche , Ojoche lechoso , Ojoche macho ;Moraceae 
Brosimum costaricanum Liebm. ;Ojochillo , Ojochillo amarillo Shubi ;Moraceae 
Brosimum guianense (Aubl.) Huber ;Azulillo , Granadillo Mariabe , Ojoche , Ojoche blanco ;Moraceae 
Brosimun lactescens (S. Moore) C. C. Berg ;Ojoche , Ojoche , Ojoche blanco , Ojochiyo ;Moraceae 
Brosimun utile (Kunth) Oken ;Árbol de leche , Baco , Baco lechoso , Datsi , Köke , Kokí , Kooche , Lechoso , Mastate Palo de leche , Sháliklo , Shontsi , Shwali , Tsalliklo , Vaco ;Moraceae 
Brunellia costaricensis Standl. ;Cedrillo ;Brunelliaceae 
Brunellia hygrotermica Cuatrec. ;Cedrillo ;Brunelliaceae 
Buchenavia costaricensis Stace ;Amarillón , Escobo , Roble coral ;Combretaceae 
Buchenavia tetraphylla (Aubl.) R. A. Howard ;Amarillón ;Combretaceae 
Buconia frutescens L. ;Guacamaya , Papagayo  , Papayillo , Tabaquillo ;Papaveraceae 
Buddleia americana L. ;Salva , Salvia , Hoja de salvia ;Loganiaceae 
Bunchosia spp ;Cerezo ;Malpighiaceae 
Bursera graveolens (Kunth) Triana & Planch. ;Caraña ;Burseraceae 
Bursera simaruba (L.) Sarg. ;Almácigo , Árbol del turista , Caraño , Indio desnudo , Indio pelado , Jicoa , Jicote , Jinocuabe , Jiñocuabe , Jiñote , Kölo kámoli , Liñocuaby Papelillo ;Burseraceae 
Bursera tomentosa (Jacq.) Triana & Planch. ;Caraño , Indio , Indio plateado ;Burseraceae 
Byrsonima crassifolia (L.) Kunth ;Nance , Nancite , Tsiki ;Malpighiaceae 
Byrsonima crispa A. Juss. ;Nance de montaña ;Malpighiaceae 
Caesalpinia eriostachys DC. ;Palo de sahíno , Palo de sajino , Sahíno , Sahíno , Sainillo , Saino , Saíno de playa , Sajino , Zahíno , Zaíno ;Fabaceae-Caes. 
Caesalpinia exostermma DC. ;Malinchillo ;Fabaceae-Caes. 
Caesalpinia pulcherrima (L.) Sw. ;Clavelina , Hoja sen , Malinche , Malinche falso ;Fabaceae-Caes. 
Calatola costaricensis Standl. ;Azulillo Coquito , Cucaracho , Duraznillo , Guatil , Palo azul , Palo de papa ;Icacinaceae 
Calatola costaricensis Standl. ;Tapaculo ;Icacinaceae 
Callistemon lanceolatus DC. ;Hisopo ;Myrtaceae 
Calophyllum brasiliense Cambess. ;Cedro maría , Jorco , María , María blanco , María colorado , Palo maría , Santamaría ;Clusiaceae 
Calophyllum longifolium Willd. ;Cedro María , María , María colorado , Palo de maría , Santamaría ;Clusiaceae 
Calycophyllum candidissimun (Vahl) DC. ;Colorado Conchudo , Conejo , Madroño , Sálamo , Surá , Surra ;Rubiaceae 
Calyptrogyne ghiesbreghtiana (Linden & H. Wendl.) H. W ;Cola de gallo ;Arecaceae 
Campnosperma panamensis Standl. ;Orey ;Anacardiaceae 
Cananga odorata (Lam.) Hook. f. & Thompson ;Ilang-ilang ;Annonaceae 
Carapa guianensis Aubl. ;Bateo , Bogamani , Cahoba , Caoba , Caobilla Cedro bateo , Cedro cóbano , Cedro macho , Cóbano , Ocora , Palo de agua , Surirla , Tlublö ;Meliaceae 
Carica papaya L. ;Papaya ;Caricaceae 
Cariniana pyriformis Mirs. ;Jícaro ;Lecythidaceae 
Carludovica palmata Ruiz & Pav. ;Estococa , Palma de sombrero ;Cyclanthaceae 
Carpotroche platyptera Pittier ;Manga larguilla ;Flacourtiaceae 
Caryocar costaricense Donn. Sm. ;Ají , Ajillo , Ajo , Manú , Plátano , Plomillo ;Caryocaraceae 
Caryodaphnopsis burgeri N. Zamora & Poveda ;Cirrí , Cocobola , Quirá ;Lauraceae 
Caryota mitis Lour. ;Cola de pez ;Arecaceae 
Caryota urens L. ;Palma cola de pez ;Arecaceae 
Casearia arborea (Rich.) Urb. ;Anonillo , Blanco , Flaco , Flaco colorado , Manga larga , Manga larguilla , Yaya ;Flacourtiaceae 
Casearia corymbosa Kunth ;Blanco , Cerillo , Cerito , Plomillo , Raspalengua ;Flacourtiaceae 
Casearia sylvestris Sw. ;Huesillo Plomillo , Purrá , Quiubra ;Flacourtiaceae 
Casimiroa edulis La llave & Lex. ;Matasano Tapaculo ;Rutaceae 
Cassia fistula L. ;Caña fístula Cañafistula ;Fabaceae-Caes. 
Cassia grandis L. f. ;Carao , Carao , Carol , Carulo , Sandal , Sandal caballo , Sandal extranjero , Sandal llanero , Sandalo , Santal , Stinking toe ;Fabaceae-Caes. 
Castilla elastica Sesse ;Hule , Hule , Palo de hule , Shiníklo , Tsini , Tsuní kali ;Moraceae 
Castilla tunu Hemsl. ;Hule  , Hule macho ;Moraceae 
Casuarina equisetifolia J. R. Forst. ;Casuarina , Pino , Pino australiano , Pino de Australia , Pino de los tontos , Silbador ;Casuarinaceae 
Cavanillesia platanifolia (Bonpl.) Kunth ;Cuipo ;Bombacaeae 
Cecropia insignis Liebm. ;Guarumo , Guarumo blanco ;Cecropiaceae 
Cecropia obtusifolia Bertol. ;Guarumo ;Cecropiaceae 
Cecropia peltata L. ;Guarumo ;Cecropiaceae 
Cecropia spp ;Guarumo ;Cecropiaceae 
Cedrela fissilis Vell. ;Cedro real ;Meliaceae 
Cedrela odorata L. ;Cedro  , Cedro amargo ;Meliaceae 
Cedrela salvadorensis Standl. ;Cedro , Cedro colorado ;Meliaceae 
Cedrela tonduzii C. DC. ;Cedro , Cedro atlántico , Cedro cóbano Cedro colorado , Cedro del Atlántico , Cedro dulce Cedro real ;Meliaceae 
Ceiba aesculifolia (Kunth) Britton & Baker ;Pochote de pelota ;Bombacaeae 
Ceiba pentandra (L.) Gaertn. ;Ceiba , Pulí Puri , Tkulí ;Bombacaeae 
Cespedesia macrophylla Seem. ;Cola de pavo , Espavel colorado Tabacón ;Ochnaceae 
Cestrum lanatum M. Martens & Galeotti ;Zorrillo blanco ;Solanaceae 
Chamaedorea costaricana Oerts. ;Pacaya ;Arecaceae 
Chimarrhis latifolia Standl. ;Cuajada , Jagua amarillo , Manu , Pejibayito , Plátano amarillo , Yema de huevo ;Rubiaceae 
Chimarrhis parviflora Standl. ;Cuajada , Manú , Pejibayito , Yema de huevo ;Rubiaceae 
Chione sylvicola (Standl.) W. C. Burger ;Fruta de pava ;Rubiaceae 
Chloroleucon eurycyclum Barneby & J. W. Grimes ;Cashá , Espino amarillo , Espino blanco ;Fabaceae-Mim. 
Chomelia spinosa Jacq. ;Chocolatico Malacahuite ;Rubiaceae 
Christiana africana DC. ;Piedra ;Tiliaceae 
Chrysalidocarpus lutescens H. Wendl. ;Palma múltiple Eureca ;Arecaceae 
Chrysobalanus icaco L. ;Icaco ;Chrysobalanaceae 
Chrysophyllum argenteum Jacq. ;Caimito de montaña ;Sapotaceae 
Chrysophyllum cainito L. ;Caimito Sokuikuo ;Sapotaceae 
Cinchona pubescens Vahl. ;Quina ;Rubiaceae 
Cinnamomum cinnamomifolium (Kunth) Kosterm. ;Aguacatillo ;Lauraceae 
Citharexylum donnell-smithii Greenm. ;Dama , Huelenoche ;Verbenaceae 
Citrus aurantifolia (Christm.) Swingle ;Ash skosko , Limóm pondoroso , Limón , Limón ácido , Limón agrio , Namól ;Rutaceae 
Citrus sinensis (L.) Osbeck ;Ash , Naranja dulce , Naranja dulce , Naranjo , Naranjo dulce ;Rutaceae 
Cleidion castaneifolium Muli. Arg. ;Hojancha ;Euphorbiaceae 
Clethra mexicana A. DC. ;Nance , Nance macho ;Clethraceae 
Cleyera theioides (Sw.) Choisy ;Tito ;Theaceae 
Cleyera theioides (Sw.) Choisy ;Titora , Títora ;Theaceae 
Clusia rosea Jacq. ;Copey Matapalo ;Clusiaceae 
Clusia rotundata Standl. ;Copey ;Clusiaceae 
Clusia spp ;Copey ;Clusiaceae 
Cnidoscolus aconitifolius (Mill.) I. M. Johnst. ;Chicasquil ;Euphorbiaceae 
Coccoloba standleyana P. H. Allen ;Uva de playa ;Polygonaceae 
Coccoloba guanacastensis W. C. Burger ;Cepa , Uva de playa ;Polygonaceae 
Coccoloba tuerkheimii Donn. Sm. ;Alma negra , Irayol de montaña , Piedra , Quebracho , Zapatón ;Polygonaceae 
Cochlospermum vitifolium (Willd.) Spreng. ;Broó , Poro poro , Poroporo ;Cochlospermaceae 
Cocos nucifera L. ;Coco , Cocotero ;Arecaceae 
Codiaeum variegatum (L.) Blume ;Cortón , Crotomí , Crótomo , Croton Grave tree , Oro , Palo de oro ;Euphorbiaceae 
Cojoba arborea (L.) Britton & Rose ;Ardillo , Conchudo , Lorito ;Fabaceae-Mim. 
Conceveiba pleiostemona Donn. Sm. ;Algodón , Algodoncillo , Chasparrio , Chayotillo , Pilón blanco , Saravio ;Euphorbiaceae 
Conocarpus erectus L. ;Botón , Botoncillo , Mangle , Mangle botón Mangle botoncillo , Mangle mariquita ;Combretaceae 
Conocarpus erectus L. ;Mangle mariquito , Mangle negro , Mangle torcido ;Combretaceae 
Conostegia oerstediana O. Berg ex Triana ;Cantarillo , Mariquilla ;Melastomataceae 
Conostegia sp. ;Lengua de vaca ;Melastomataceae 
Conostegia xalapensis (Bonpl.) D. Don ;Lengua de gato Lengua de vaca , Uña de gato ;Melastomataceae 
Copaifera aromatica Dwyer ;Camíbar ;Fabaceae-Caes. 
Copaifera camibar Poveda, N. Zamora & P. E. ;Camíbar ;Fabaceae-Caes. 
Cordia alliodora (Ruiz & Pav.) Oken ;Laurel , Laurel negro , Molenito , Onión , Yawé , Yëwë , Yuë ;Boraginaceae 
Cordia bicolor A. DC. ;Bernabé Muñeco ;Boraginaceae 
Cordia collococca L. ;Babas y mocos , Buriogre , Buriogre amarillo , Buriogre de montaña , Muñeco ;Boraginaceae 
Cordia cymosa (Donn. Sm.) Standl. ;Muñeco ;Boraginaceae 
Cordia dentata Poir. ;Tiguilote ;Boraginaceae 
Cordia dwyeri Nowicke. ;Laurel ;Boraginaceae 
