Nombre científico ;Nombre común ;Familia 
Godmania aesculifolia (Kunth) Standl. ;Cacho de venado Corteza de chivo ;Bignoniaceae 
Goethalsia meiantha (Donn. Sm.) Burret ;Chancho blanco , Guácimo , Guácimo blanco , Juanilama ;Tiliaceae 
Gordonia brandegeei H. Keng ;Campano , Lloró , Llorón ;Theaceae 
Gordonia fruticosa (Schrad.) H. Keng ;Campano , Campano blanco , Campano chile , Ira chiricana , Ira colorado ;Theaceae 
Grevillea robusta A. Cunn. ;Gravilea , Grevilia ;Proteaceae 
Grias cauliflora L. ;Tabacón ;Lecythidaceae 
Guaiacum sanctum L. ;Guayabón real , Guayacán , Guayacán real ;Zygophyllaceae 
Guarea bullata Radlk. ;Conejo ;Meliaceae 
Guarea glabra Vahl ;Chuchupate , Cocora , Cocorilla , Pocora ;Meliaceae 
Guarea grandifolia DC. ;Cedro macho ;Meliaceae 
Guarea guidonia (L.) Sleumer ;Caobilla , Carbonero , Cocora , Cola de pava , Ocoro , Pocora , Pocorilla ;Meliaceae 
Guarea kunthiana A. Juss. ;Pocora ;Meliaceae 
Guarea rhopalocarpa Radlk. ;Cocora , Ocora , Pocora ;Meliaceae 
Guarea sp ;Caobilla ;Meliaceae 
Guatteria amplifolia Triana & Planch. ;Anonillo , Anonillo negro ;Annonaceae 
Guatteria chiriquiensis R. E. Fr. ;Babanito , Bananito , Burío , Malaqueto , Söl ;Annonaceae 
Guazuma ulmifolia Lam. ;Capulín , Guácimo Guácimo ardilla , Guácimo blanco , Guácimo ternero , Hembra , Varablanca ;Sterculiaceae 
Guettarda macrosperma Donn. Sm. ;Madroño negro ;Rubiaceae 
Guettarda turrialbana N. Zamora & Poveda ;Madroño ;Rubiaceae 
Haematoxylum brasiletto H. Karst. ;Azulillo , Brasil , Palo brasil ;Fabaceae-Caes. 
Hamelia patens Jacq. ;Añilito , Arrocillo , Cachimbillo , Canela , Clavillo  ;Rubiaceae 
Hampea appendiculata (Donn. Sm.) Standl. ;Algodoncillo , Burio , Burio blanco , Buriogre ;Malvaceae 
Hampea platanifolia  Standl. ;Majagua ;Malvaceae 
Hasseltia floribunda Kunth ;Canfinillo , Chancho blanco , Guatuza Ira carne , Laurel , Muñeco ;Flacourtiaceae 
Hauya lucida Donn. Sm. & Rose ;Guayabón real Subús ;Onagraceae 
Hauya lucida Donn. Sm. & Rose ;Supara , Surá , Tubús ;Onagraceae 
Hedyosmum bonplandianum Kunth ;Aguillo ;Chrolanthaceae 
Hedyosmum mexicanum C. Cordem. ;Aguillo , Manglillo , Pina , Pinilla , Varablanca ;Chrolanthaceae 
Heliocarpus appendiculatus Turcz. ;Burillo , Coloradito ;Tiliaceae 
Heliocarpus spp ;Burío ;Tiliaceae 
Hernandia didymantha Donn. Sm. ;Burío , Laurel , Mastate , Muñeco , Zoncho , Zopilote ;Hernandiaceae 
Hernandia stenura Standl. ;Zopilote ;Hernandiaceae 
Herrania purpurea (Pittier) R. E. Shult. ;Cacao de ardilla , Cacao de mono , Cacao de monte , Caco de mico , Tusiro ;Sterculiaceae 
Hevea brasiliensis Mull. Arg. ;Hule ;Euphorbiaceae 
Hibiscus pernambucensis Arruda ;Hule ;Malvaceae 
Homalium racemosum Jacq. ;Espino blanco ;Flacourtiaceae 
Huberodendron allenii Standl. & L. O. Williams ;Amor de suegra , Cucharilla , Gambudo , Poponjoche ;Bombacaeae 
Humiriastrum diguense Cuatrec. ;Chiricano , Chiricano triste , Lorito , Níspero ;Humiriaceae 
Hura crepitans L. ;Ascá , Comenegro , Jabillo , Mancitón , Pilón ;Euphorbiaceae 
Hyeronima alchorneoides Allemao ;Ascá Báchöl ;Euphorbiaceae 
Hyeronima alchorneoides Allemao ;Bchölklú , Comenegro , Jabillo , Kikalá , Pilón , Sanbox , Sangre de toro ;Euphorbiaceae 
Hyeronima oblonga (Tul.) Mull. Arg. ;Algodoncillo , Campano , Chile , Cucaracho , Ecoth ebo , Kúlök , Kurock , Mancitón , Pilón , Piloncillo , White cedar ;Euphorbiaceae 
Hyeronima poasana Standl. ;Nancitón ;Euphorbiaceae 
Hymenaea courbaril L. ;Algarrobo , Cuapinol , Guapinol , Guapinol negro , Nancitón , Zapatero ;Fabaceae-Caes. 
Hymenolobium mesoamericanum H. C. Lima ;Cola de pavo ;Fabaceae-Pap. 
Ilex skutchii Edwin ex T. R. Dudley & W. ;Campano Campano blanco , Espino blanco , Plomillo ;Aquifoliaceae 
Inga spp  ;Guaba ;Fabaceae-Mim. 
Inga vera Willd. ;Guaba , Guaba colorada , Guaba ron ron ;Fabaceae-Mim. 
Iriartea deltoidea Ruiz & Pav. ;Chonta , Maquenque , Palmilera ;Arecaceae 
Jacaranda copaia (Aubl.) D. Don ;Buho , Gallinazo , Jacaranda ;Bignoniaceae 
Jacaratia dolichaula (Donn. Sm.) Woodson ;Ceiba papaya Palo de barril ;Caricaceae 
Jacaratia dolichaula (Donn. Sm.) Woodson ;Papaya de monte , Papayillo , Papayillo de monte ;Caricaceae 
Jacaratia spinosa (Aubl.) DC.  ;Ceibo papaya , Papaya almendro , Papaya bongo , Papaya de monte , Papaya de venado ;Caricaceae 
Jacquinia nervosa C. Presl. ;Burriquita , Siempreverde , Siempreviva ;Theophrastraceae 
Jaracanda mimosifolia D. Don ;Jacaranda Nazareno ;Bignoniaceae 
Juglans olanchana Standl. & L. O. Williams ;Nogal ;Juglandaceae 
Karwinskia calderonii Standl. ;Chiliguiste  Guiliguiste ;Rhamnaceae 
Lacmellea panamensis (Woodson) Markgr. ;Alcabú , Cerillo , Chicloso , Espinudo , Lagartillo negro , Largarto negro , Leche de vaca ;Apocynaceae 
Lacunaria panamensis (Standl.) Standl. ;Manglillo ;Quinaceae 
Laetia procera (Poepp.) Eichler ;Camarón , Espino amarillo , Manga larga , Manga larga blanca , Manga larga roja , Mangalarga blanca , Mangle ;Flacourtiaceae 
Lafoensia punicifolia DC. ;Amarillito , Amarillo , Amarillón , Bambito , Carbonero , Cascarillo , Palomo , Plomo , San Juanillo ;Lythraceae 
Lagerstroemia indica L. ;Júpiter ;Lythraceae 
Lagerstroemia speciosa (L.) Pers. ;Orgullo de la India , Aceituno falso , Alcornoco , Alcornoque , Camarón , Canilla de mula , Cuero de sapo , Falso roble , Roble , Roble blanco ;Lythraceae 
Licania hypoleuca Benth. ;Cenizo , Cuero de sapo ;Chrysobalanaceae 
Licania operculipetala Standl. & L. O. Williams ;Camarón , Zapotillo ;Chrysobalanaceae 
Licania platypus (Hemsl.) Fritsch ;Sonzapote Zapote mechudo Zonzapote ;Chrysobalanaceae 
Licaria cufodontisii Kosterm. ;Canelo ;Lauraceae 
Licaria excelsa Kosterm. ;Canelo ;Lauraceae 
Licaria multinervis Holger Kurz ;Quina , Quizarrá quina ;Lauraceae 
Licuala grandis H. Wendl. ;Palma ;Arecaceae 
Licuala spinosa Thunb. ;Palma ;Arecaceae 
Ligustrum lucidum Aiton ;Trueno ;Oleaceae 
Lippia myriocephala Schltdl. & Cham. ;Caraigre ;Verbenaceae 
Lippia torresii Standl. ;Caraigre ;Verbenaceae 
Liquidambar styraciflua L. ;Liquidanbar ;Hamamelidaceae 
Livistona chinensis (Jacq.) R. Br. ex Mart. ;Palma de abanico de China ;Arecaceae 
Livistona saribus (Lour.) Merr. ex  A. Chev. ;Palma ;Arecaceae 
Lonchocarpus atropurpureus Benth. ;Chaperno ;Fabaceae-Pap. 
Laguncularia racemosa (L.) C. F. Gaertn. ;Mangle , Mangle blanco , Mangle mariquita , Mangle salado , Mariquita Palo de sal , Palo salado ;Combretaceae 
Latania lontaroides (Gaertn.) H. E. Moore ;Palma ;Arecaceae 
Lecointea amazonica Ducke ;Caja , Costilla de danta , Costilla de danto ;Fabaceae-Pap. 
Lecythis ampla Miers ;Almedro papayo , Cachimbo , Jícaro Olla de mono , Papayón ;Lecythidaceae 
Lecythis mesophylla S. A. Mori ;Jícaro ;Lecythidaceae 
Lennea viridiflora Seem. ;Madero negro de montaña ;Fabaceae-Pap. 
Leucaena leucocephala (Lam.) de Wit ;Ipil Ipil , Leucaena ;Fabaceae-Mim. 
Licania affinis Fritsch ;Cuero de sapo ;Chrysobalanaceae
Licania arborea Seem.;Aceituno ;Chrysobalanaceae
Lonchocarpus costaricensis (Donn. Sm.) Pittier ;Chaperno , Corteza de venado , Pava , Siete cueros ;Fabaceae-Pap. 
Lonchocarpus felipei N. Zamora ;Chaperno ;Fabaceae-Pap. 
Lonchocarpus ferrugineus M. Sousa ;Comenegro ;Fabaceae-Pap. 
Lonchocarpus minimiflorus Donn. Sm. ;Chapernillo Chaperno ;Fabaceae-Pap. 
Lonchocarpus rugosus Benth. ;Carao macho , Cola de pavo , Comenegro , Frijolillo , Sandal macho , Sandalo , Sandalo macho ;Fabaceae-Pap. 
Luehea candida (DC.) Mart. ;Guácimo , Guácimo molenillo Molenillo ;Tiliaceae 
Luehea seemannii Triana & Planch. ;Guácimo , Guácimo colorado , Guácimo macho , Guácimo macho de montaña Guacimón ;Tiliaceae 
Luehea speciosa Willd. ;Gúacimo ;Tiliaceae 
Lysiloma auritum (Schltdl.) Benth. ;Quebracho ;Fabaceae-Mim. 
Lysiloma divaricatum (Jacq.) J. F. Macbr. ;Quebracho , Tamarindo de monte ;Fabaceae-Mim. 
Macadamia integrifolia Maiden & Betche  ;Macadamia ;Proteaceae 
Machaerium biovulatum Micheli ;Espino negro , Siete cueros , Uña de gato ;Fabaceae-Pap. 
Maclura tinctoria (L.) G. Don ;Brasil ;Moraceae 
Maclura tinctoria (L.) G. Don ;Mora , Palo de mora ;Moraceae 
Macrohasseltia macroterantha Standl. & L. O. Williams ;Espino blanco ;Flacourtiaceae 
Macrolobium hartshornii R. S. Cowan ;Josefino , Tamarindo de suampo  ;Fabaceae-Caes. 
Magnolia grandiflora L. ;Magnolia ;Magnoliaceae 
Magnolia poasana (Pittier) Dandy ;Candelillo Magnolia ;Magnoliaceae 
Magnolia sororum Seibert ;Candelillo Magnolia ;Magnoliaceae 
Mammea americana L. ;Mamey ;Clusiaceae 
Mangifera indica L. ;Manco de mecha , Manga Mango  , Mango agrio , Mango caribe , Mango de caite Mango de hilacha , Mango de piña , Mango de rosa , Mango mamey ;Anacardiaceae 
Manicaria saccifera Gaertn. ;Palma ;Arecaceae 
Manilkara chicle (Pittier) Gilly ;Níspero , Níspero de chicle ;Sapotaceae 
Manilkara staminodella Gilly ;Níspero ;Sapotaceae 
Manilkara zapota (L.) Royen ;Níspero , Níspero de chicle ;Sapotaceae 
Maranthes panamensis (Standl.) Prance & F. Whi ;Camarón , Pejiballe , Pejibay , Pejibayito ;Chrysobalanaceae 
Marila laxiflora Rusby ;Goma ;Clusiaceae 
Marila pluricostata Standl. & L. O. Williams ;Camarón ;Clusiaceae 
Matisia tinamastiana Estrada & Casacante ; Sin datos.;Bombacaeae 
Mauria hetorophylla Kunth ;Cirri  , Cirrí amarillo , Cirrí colorado , Jiñocuabe , Lentisco ;Anacardiaceae 
Melaleuca leucodendron ;Corcho ;Myrtaceae 
Melia azedarach L. ;Paraíso ;Meliaceae 
Melicoccus bijugatus Jacq. ;Mamón , Mamón , Mamón de Cartagena , Mamoncillo ;Sapindaceae 
Miconia argentea (Sw.) DC. ;Capilote , María , María colorada , Murta , Santamaría ;Melastomataceae 
Micropholis crotonoides (Pierre) Pierre ;Caimito , Zapotillo , Zapotillo ;Sapotaceae 
Micropholis melinoniana Pierre ;Mariabé ;Sapotaceae 
Minquartia guianensis Aubl. ;Cuajada negra , Manú , Manú negro , Manwood , Mimillo , Palo de piedra , Suré , Tsule ;Olacaceae 
Montanoa hibiscifolia Benth. ;Tora ;Asteraceae 
Mora oleifera (Triana) Ducke ;Alcornoque , Chaperno , Chaperno de suampo , Mora , Mora de mangle ;Fabaceae-Caes. 
Mortoniodendron anisophyllum (Standl.) Standl. & Steye ;Cuero de vieja ;Tiliaceae 
Mosquitoxylum jamaicense Krug & Urb. ;Cirri blanco , Cirri colorado Ciruelo ;Anacardiaceae 
Mouriri gleasoniana Standl. ex Steyerm. ;Gasparillo Gasparrillo ;Melastomataceae 
Muntingia calabura L. ;Capulín , Capulín blanco , Capulín de comer , Capulín dulce , Fruta de pava ;Tiliaceae 
Murraya paniculata (L.) Jack ;Azahar de india , Azahar de la India , Jazmín de la India , Mirto ;Rutaceae 
Murraya paniculata (L.) Jack ;Mirto , Uruca , Uruca de jardín , Uruca extranjera ;Rutaceae 
Myrcia splendens (Sw.) DC.  ;Murta ;Myrtaceae 
Myrcianthes fragrans (Sw.) McVaugh ;Arrayán , Guayabillo Murta ;Myrtaceae 
Myrospermun frutescens Jacq. ;Arco Caraño , Guachipelín blanco , Guachipelín de ratón , Guachipelín de ratón , Guachipelín ratón , Palo de arco , Papi ;Fabaceae-Pap. 
Myroxylon balsamum (L.) Harms ;Bálsamo , Bálsamo de tolú  Bálsamo del Perú , Bálsamo negro , Chirraca , Sándalo ;Fabaceae-Pap. 
Myrsine pellucido-punctata Oerst. ;Ratón ;Myrsinaceae 
Naucleopsis naga Pittier ;Amargo Quina ;Moraceae 
Nectandra cissiflora Nees ;Aguacatillo ;Lauraceae 
Nectandra cufodontisii (O. C. Schmidt) C. K. All ;Quizarrá ;Lauraceae 
Nectandra globosa (Aubl.) Mez. ;Aguacatillo , Dokro , Quina , Quizarrá , Quizarrá blanco , Quizarrá quina Sigua , Sigua amarillo ;Lauraceae 
Nectandra nitida Mez ;Aguacatillo , Quizarrá , Sigua amarillo ;Lauraceae 
Nectandra ramonensis Standl. ;Quizarrá ;Lauraceae 
Nectandra reticulata (Ruiz & Pav.) Mez ;Quizarrá , Quizarrá zopilote ;Lauraceae 
Nectandra salicifolia (Kunth) Ness ;Aguacatillo ;Lauraceae 
Nectandra salicifolia (Kunth) Ness ;Canelo , Ira , Ira colorado , Quina , Quizarrá , Quizarrá blanco , Sigua , Sigua amarillo , Sigua blanco ;Lauraceae 
Nectandra sanguinea Roland. ex Rottb ;Ira rosa , Quizarrá colorado ;Lauraceae 
Nectandra turbacensis (Kunth) Nees ;Quizarrá ;Lauraceae 
Neonicholsonia watsonii Dammer ;Palma ;Arecaceae 
Newtonia suaveolens (Miq.) Brenan ;Ardillo Iguano , Tamarindillo , Tamarindo ;Fabaceae-Mim. 
Ochroma pyramidale (Cav. ex Lam.) Urb. ;Balsa , Balso , Dachà , Dachaclö , Dichá , Enea , Enea , Kachá , Wlúklo ;Bombacaeae 
Ocotea austinii C. K. Allen ;Ira colorado ;Lauraceae 
Ocotea babosa (mal ap.) C. K. Allen ;Iras ;Lauraceae 
Ocotea brenesii Standl. ;Iras ;Lauraceae 
Ocotea dentata van der Werff ;Iras ;Lauraceae 
Ocotea endresiana Mez ;Ira mangle , Marañon , Sigua oloroso ;Lauraceae 
Ocotea glaucosericea Rohwer ;Bambito , Bambito blanco , Ira rosa ;Lauraceae 
Ocotea hartshorniana Hammel ;Quizarrá amarillo ;Lauraceae 
Ocotea insularis (Meisn.) Mez ;Aguacatillo , Irá marañon , Quizarrá ;Lauraceae 
Ocotea ira Mez & Pittier ;Aguacatón , Ira ;Lauraceae 
Ocotea ira Mez & Pittier ;Pocora ;Lauraceae 
Ocotea mollifolia Mez & Pittier ;Aguacatón Quizarrá ;Lauraceae 
Ocotea monteverdensis W. C. Burger ;Quizarrá amarillo , Quizarrá blanco , Quizarrá quina ;Lauraceae 
Ocotea oblonga (Meisn.) Mez ;Quizarrá quina ;Lauraceae 
Ocotea pseudopalmana W. C. Burger ;Ira , Ira mangle , Ira zoncho , Ira zopilote ;Lauraceae 
Ocotea puberula (Rich.) Nees ;Ira zopilote ;Lauraceae 
Ocotea stenoneura Mez & Pittier ;Aguacatillo , Quizarrá amarillo , Quizarrá canelo , Tiquísaro , Yaya , Yayo ;Lauraceae 
Ocotea valeriana (Standl.) W. C. Burger ;Quizarrá ;Lauraceae 
Ocotea veraguensis (Meisn.) Mez ;Canelillo , Canelo , Quina , Sigua canela ;Lauraceae 
Ocotea whitei Woodson ;Bambito colorado , Irá patón , Ira rosa , Sigua amarilla ;Lauraceae 
Oenocarpus mapora H. Karst. ;Maquenque ;Arecaceae 
Oreamunnea mexicana (Standl.) J.-F. Leroy ;Gaulín Gavilán ;Juglandaceae 
Oreamunnea pterocarpa Oerts. ;Campano , Gavilán , Gavilán blanco ;Juglandaceae 
Oreopanax xalapensis (Kunth) Decne. & Planch. ;Cacho de venado , Higuera , Papayillo ;Araliaceae 
Ormosia coccinea (Aubl.) Jacks. ;Alazán , Coralillo , Nene ;Fabaceae-Pap. 
Ormosia macrocalyx Ducke ;Frijolillo , Nene , Nene ;Fabaceae-Pap. 
Ormosia velutina Rudd ;Nene , Nene carita , Nene panza negra ;Fabaceae-Pap. 
Otoba novogranatensis Moldenke ;Bogamaní , Bola de oro , Campano , Escobo negro , Fruta , Fruta dorada , Hoja dorada , Lirio de montaña , Sebo Yaya ;Myristicaceae 
Pachira aquatica Aubl. ;Caco cimarrón , Caco de danta , Huevos de burro , Jelinjoche , Lirio de montaña , Poponjoche , Quirihuillo , Zapotón ;Bombacaeae 
Palandra aequatorialis O. F. Cook ;Palma de marfín vegetal ;Arecaceae 
Pandanus tectorius Sol. ;Falsa palmera ;Pandanaceae 
Panopsis suaveolens (Koltzsch & H. Karst.) Pi ;Palo de papa , Papa , Papa de monte ;Proteaceae 
Paramachaerium gruberi Brizicky ;Sangrillo , Sangrillo colorado ;Fabaceae-Pap. 
Parinari excelsa Sabine ;Areno Pejiballe , Turrú ;Chrysobalanaceae 
Parinari parvifolia Sandwith ;Pejiballe ;Chrysobalanaceae 
Parkia pendula (Willd.) Benth. ex Walp.  ;Ardillo , Guanacastillo , Iguano , Tamarindo , Tamarindo gigante ;Fabaceae-Mim. 
Parkinsonia aculeata L. ;Espino del cairo , Espino negro , Palo verde , Paloverde , Retamo ;Fabaceae-Caes. 
Parkinsonia aculeata L. ;Sauco Yabo ;Fabaceae-Caes. 
Parmentiera valeríi Standl. ;Cacho de danta , Cacho de danto , Jícaro , Jícaro de danta , Plátano de danta ;Bignoniaceae 
Pausandra trianae (Mull. Arg.) Baill. ;Tabacón ;Euphorbiaceae 
Pelliciera rhizophorae Triana & Planch. ;Mangle de piña , Mangle piñuela , Mangle piñuelo ;Theaceae 
Peltogyne purpurea Pittier ;Aromio , Azulillo , Nazareno , Nene , Sangre de Cristo ;Fabaceae-Caes. 
Pentaclethra macroloba (Willd.) Kuntze ;Gavilán , Gavilán quebracho , Quebracho , Sharál ;Fabaceae-Mim. 
Pera arborea Mutis ;Pera ;Euphorbiaceae 
Persea americana Mill. ;Aguacate , Amó , Avocado , Jamó ;Lauraceae 
Persea caerulea (Ruiz & Pav.) Mez ;Aguacatillo , Aguacatillo ascá , Aguacatón , Ira , Ira café ;Lauraceae 
Persea schiedeana Nees ;Aguacate de montaña , Aguacatón , Yas , Yas ;Lauraceae 
Phoenix canariensis Hort. ex Chabaud ;Palma ;Arecaceae 
Phoenix pusilla Gaertn. ;Palma ;Arecaceae 
Phoenix reclinata Jacq. ;Palma ;Arecaceae 
Phoenix roebelenii O`Brien ;Palma ;Arecaceae 
Pholidostachys pulchra H. Wendl. ex Burret ;Palma ;Arecaceae 
Phyllanthus skutchii Standl. ;Sin nombre ;Euphorbiaceae 
Phyllocarpus septrentionalis Donn. Sm. ;Sin nombre ;Fabaceae-Caes. 
Pinus caribaea var. Hondurensis Morelet ;Pino ;Pinaceae 
Pinus montezumae A. B. Lambert ;Pino ;Pinaceae 
Pinus oocarpa Schlechtendal ;Pino ;Pinaceae 
Pinus patula Schlechtendal & Chamisso ;Pino ;Pinaceae 
Pinus pseudostrobus Lindl. ;Pino ;Pinaceae 
Pinus radiata D. Don ;Pino ;Pinaceae 
Pinus tecunumanii Eguiluz & J. P. Perry ;Pino ;Pinaceae 
Piper auritum Kunth ;Anisillo , Hoja de estrella ;Piperaceae 
Piscidia carthagenensis Jacq. ;Cachimbo , Pellejo de toro , Siete cueros ;Fabaceae-Pap. 
Pithecellobium dulce (Roxb.) Benth. ;Michiguiste Mochiguiste ;Fabaceae-Mim. 
Pithecellobium lanceolatum (Humb. & Bonpl. ex) Will ;Michiguiste ;Fabaceae-Mim. 
Platycadus occidentalis  ;Thuja ;Cupressaceae 
Platycladus orientalis (L.) Franco ;Thuja ;Cupressaceae 
Platymiscium curuense N. Zamora & Kiitgaard ;Cachimbo , Cristóbal , Ñambar ;Fabaceae-Pap. 
Platymiscium parviflorum Benth. ;Cachimbo , Cristóbal , Ñambar ;Fabaceae-Pap. 
Platymiscium pinnatum (Jacq.) Dugand ;Cachimbo , Cristóbal , Ñambar ;Fabaceae-Pap. 
Pleurothyrium palmanum (Mez & Donn. Sm.) Rohwer ;Ira zopilote , Quizarrá zopilote ;Lauraceae 
Plumeria rubra L. ;Alhelí , Cacalojoche , Flor blanca , Fragipani , Frangipana , Jiquiloche , Juche , Torito ;Apocynaceae 
Podachaenium eminens (Lag.) Sch. Bip ;Tora , Tora blanca ;Asteraceae 
Podocarpus costaricensis de Laub. ;Ciprecillo , Ciprés blanco , Cipresillo , Cipresillo amarillo , Coloba ;Podocarpaceae 
Podocarpus costaricensis de Laub. ;Lorito ;Podocarpaceae 
Podocarpus guatemalensis Standl. ;Ciprecillo , Ciprecillo amarillo , Ciprecillo blanco , Pinillo , Pino de montaña ;Podocarpaceae 
Podocarpus macrostachys Parl. ;Cipresillo ;Podocarpaceae 
Podocarpus monteverdeensis de Laub. ;Ciprecillo ;Podocarpaceae 
Populus alba L. ;Populus , Populus ;Salicaceae 
Posoqueria latifolia (Rudge) Roem. & Schult. ;Guayaba de mono ;Rubiaceae 
Poulsenia armata (Miq.) Standl. ;Calugo , Chilamante espinoso , Chilamate espina , Mastate ;Moraceae 
Pourouma bicolor Mart. ;Alazán , Chumico , Guarumo de montaña , Lija , Mastate , Pasica ;Cecropiaceae 
Pourouma minor Benoist ;Chumico , Huevos de gato ;Cecropiaceae 
Pouteria congestifolia Pilz ;Leche amarilla ;Sapotaceae 
Pouteria laevigata (Mart.) Radlk. ;Sapote ;Sapotaceae 
Pouteria sapota (Jacq.) H. E. Moore & Ste ;Sapote ;Sapotaceae 
Pouteria torta (Mart.) Radlk. ;Sapote ;Sapotaceae 
Pouteria viridis (Pittier) Cronquist ;Zapote ;Sapotaceae 
Povedadaphne quadriporata W. C. Burger ;Ira rosa ;Lauraceae 
Prestoea acuminata (Willd.) H. E. Moore ;Palmito morado ;Arecaceae 
Prestoea decurrens (H. Wendl. ex ) Burret H. ;Palmito mantequilla ;Arecaceae 
Prestoea longepetiolata (Oerts.) H. E. Moore ;Palma ;Arecaceae 
Prioria copaifera Griseb. ;Camíbar , Cativo , Cativo blanco ;Fabaceae-Caes. 
Pritchardia pacifica Seem. & H. Wendl. ex  H. Wendl. ;Palma de abanico de , Fiji ;Arecaceae 
Protium costaricense (Rose) Engl. ;Alcanfor , Canfín , Canfine , Canfinsillo , Caraña , Copal ;Burseraceae 
Protium costaricense (Rose) Engl. ;Copalillo ;Burseraceae 
Protium glabrum (Rose) Engl. ;Canfín Copalillo ;Burseraceae 
Protium panamense (Rose) I. M. Johnst. ;Alcanfor , Canfin , Copal ;Burseraceae 
Protium pittieri (Rose) Engl. ;Copal ;Burseraceae 
Protium ravenii D. M. Porter ;Canfin , Copal , Copalillo ;Burseraceae 
Protium schippi Lundell ;Canfin Copal ;Burseraceae 
Protium spp ;Alcanfor Canfín ;Burseraceae 
Prumnopitys standleyi (J. Buchholz & N. Gray) d ;Ciprés lorito , Cipresillo, ciprecillo ;Podocarpaceae 
Prunus annularis Koehne ;Cipresillo , Duraznillo , Manglillo , Mariquita ;Rosaceae 
Prunus corniflora Koehne ;Duraznillo ;Rosaceae 
Prunus subcorymbosa Ruiz ex Koehne ;Duraznillo ;Rosaceae 
Pseudobombax septenatum (Jacq.) Dugand ;Barrigón , Ceiba barrigón  , Ceiba de rayas , Ceibo , Ceibo barrigón , Ceibo barrigón , Ceibo macho , Ceibo pochote , Ceibo verde ;Bombacaeae 
Pseudosamanea guachapele (Kunth) Harms ;Cenízaro macho , Gallinazo , Gavilán Gavilana , Guayaquil ;Fabaceae-Mim. 
Psidium sartorianum (O. Berg) Nied. ;Cacique ;Myrtaceae 
Pterocarpus hayesii Hemsl. ;Cachimbo blanco , Sandre drago , Sangregado , Sangrillo , Sangrillo blanco ;Fabaceae-Pap. 
Pterocarpus michelianus N. Zamora ;Clavelino , Sangregado ;Fabaceae-Pap. 
Pterocarpus officinalis Jacq. ;Chajada , Chajada amarilla , Cuajada amarilla , Kapek , Paleto , Palo de sangre , Sangre , Sangregado , Sangregao , Sangrillo Targuayugo , Targuayugo blanco ;Fabaceae-Pap. 
Pterocarpus rohrii Vahl ;Paleta , Sangregado ;Fabaceae-Pap. 
Pterocarpus violaceus Vogel ;Sangregado Sangrillo ;Fabaceae-Pap. 
Pterygota excelsa (Standl. & L. O. Williams) Kosterm. ;Probado , Queso fresco ;Sterculiaceae 
Qualea paraensis Ducke ;Areno , Gorgojo , Masicarán , Mazicarán ;Vochysiaceae 
Quararibea asterolepsis Pittier ;Garrocho , Guácimo molenillo ;Bombacaeae 
Quercus brenesii Trel. ;Encino , Roble , Roble negro ;Fagaceae 
Quercus copeyensis C. H. Mull. ;Barcino blanco , Encino , Roble , Roble barcino , Roble blanco , Roble colorado ;Fagaceae 
Quercus corrugata Hook. ;Encino Roble ;Fagaceae 
Quercus costaricensis Liebm. ;Encino , Encino blanco , Roble , Roble encino , Roble negro ;Fagaceae 
Quercus oleoides Schltdl. & Cham. ;Encino Roble ;Fagaceae 
Quercus oocarpa Liebm. ;Roble , Roble blanco ;Fagaceae 
Quercus rapurahuensis Pittier ex Trel. ;Roble ;Fagaceae 
Quercus seemanii Liebm. ;Roble ;Fagaceae 
Quercus spp ;Encino Roble  ;Fagaceae 
Quercus tonduzii Seemen ;Roble ;Fagaceae 
Raphia taedigera Mart. ;Tagua , Yolillo ;Arecaceae 
Raphia vinifera P. Beauv. ;Palma ;Arecaceae 
Ravenala madagascariensis Sonn. ;Palma de viajero ;Strelichzaceae 
Reinhardtia gracilis (H. Wendl.) Drude ex Damm ;Palma ;Arecaceae 
Rhapis excelsa (Thunb.) A. Henry ex Rehder ;Palma ;Arecaceae 
Rhizophora mangle L. ;Mangle , Mangle blanco , Mangle caballero , Mangle colorado , Mangle gateador , Mangle gato , Mangrove ;Rhizophoraceae 
Rhizophora racemosa G. Mey. ;Mangle caballero , Mangle colorado , Mangle gateador ;Rhizophoraceae 
Ricinus communis L. ;Higuerilla ;Euphorbiaceae 
Rollinia pittieri Saff. ;Anón , Anonillo , Candelo ;Annonaceae 
Roupala glaberrima Pittier ;Danto , Danto amarillo , Danto hediondo ;Proteaceae 
Roupala montana Aubl. ;Danto , Danto hediondo Danto ratón ;Proteaceae 
Roystonea oleracea (Jacq.) O. F. Cook ;Palma real del caribe ;Arecaceae 
Roystonea regia (Kunth) O. F. Cook ;Palma real de Cuba ;Arecaceae 
Ruptiliocarpon caracolito Hammel & N. Zamora ;Caracolito , Cedro caracolito ;Lepidobotryaceae 
Sabal domingensis Becc. ;Sabal ;Arecaceae 
Sabal mauritiiformis (H. Karst.) Griseb. & H. ;Sabal ;Arecaceae 
Sacoglottis trichogyna Cuatrec. ;Campano ;Humiriaceae 
Sacoglottis trichogyna Cuatrec. ;Colmena , Cucaracho , Danto , Danto plomillo , Erizo , Titor ;Humiriaceae 
Salix babylonica L. ;Sauce llorón ;Salicaceae 
Salix humboldtiana Willd. ;Sauce , Sauce llorón ;Salicaceae 
Samanea saman (Jacq.) Merr. ;Cenicero , Cenízaro , Genízaro , Genízaro ;Fabaceae-Mim. 
Sapindus saponaria L. ;Chumico Jaboncillo ;Sapindaceae 
